category,has_tv_restaurant_count,has_tv_avg_stars,has_tv_pct_4_stars_or_above,no_tv_restaurant_count,no_tv_avg_stars,no_tv_pct_4_stars_or_above,rating_gap_has_tv_minus_no_tv,pct_4_star_gap_has_tv_minus_no_tv
Tacos,670,3.03,34.33,113,4.23,85.84,-1.2,-51.51
Coffee & Tea,1641,3.131,39.18,1047,4.02,73.73,-0.888,-34.55
Tex-Mex,727,2.856,15.68,77,3.656,53.25,-0.8,-37.57
Hotels & Travel,261,3.236,23.75,52,3.856,61.54,-0.62,-37.79
Hot Dogs,457,3.396,42.23,133,3.921,64.66,-0.525,-22.43
Ice Cream & Frozen Yogurt,484,3.209,32.23,244,3.713,53.69,-0.504,-21.46
Bagels,284,3.259,29.23,135,3.741,54.07,-0.482,-24.84
Canadian (New),188,3.402,28.19,55,3.882,70.91,-0.48,-42.72
Pubs,1265,3.574,40.4,53,4.038,83.02,-0.463,-42.62
Bars,6865,3.549,40.77,901,3.993,73.7,-0.444,-32.93
Fast Food,4112,2.601,11.04,915,3.038,28.74,-0.437,-17.7
Nightlife,7110,3.548,40.77,979,3.981,72.83,-0.432,-32.06
Venues & Event Spaces,502,3.557,40.04,144,3.958,70.83,-0.402,-30.79
Food,7567,3.537,47.2,3698,3.92,67.01,-0.384,-19.81
Mexican,3216,3.451,40.7,581,3.83,60.41,-0.379,-19.71
Wraps,176,3.727,50.0,64,4.078,81.25,-0.351,-31.25
Event Planning & Services,1779,3.572,42.38,747,3.918,64.52,-0.347,-22.14
Beer,857,3.669,47.02,174,3.997,75.29,-0.329,-28.27
Wine & Spirits,857,3.669,47.02,174,3.997,75.29,-0.329,-28.27
Gastropubs,424,3.743,54.72,61,4.066,86.89,-0.323,-32.17
Burgers,3951,2.919,23.23,858,3.234,34.15,-0.315,-10.92
Arts & Entertainment,723,3.537,38.31,191,3.851,64.4,-0.314,-26.09
Music Venues,390,3.555,36.15,83,3.867,65.06,-0.312,-28.91
Sandwiches,5079,3.512,43.22,1715,3.822,61.34,-0.311,-18.12
Meat Shops,92,3.875,64.13,60,4.183,78.33,-0.308,-14.2
Soup,674,3.486,41.25,279,3.79,54.48,-0.304,-13.23
Caterers,1135,3.622,45.81,582,3.918,63.57,-0.296,-17.76
Cocktail Bars,1009,3.788,56.69,295,4.081,81.69,-0.293,-25.0
Gluten-Free,361,3.795,56.23,327,4.078,76.45,-0.283,-20.22
Lounges,547,3.598,41.68,102,3.877,63.73,-0.28,-22.05
Tapas/Small Plates,248,3.883,63.71,152,4.148,84.87,-0.265,-21.16
Bakeries,576,3.679,52.6,530,3.938,67.55,-0.259,-14.95
Italian,3012,3.496,41.14,943,3.741,56.63,-0.246,-15.49
Barbeque,1178,3.648,45.76,269,3.89,62.83,-0.242,-17.07
Tapas Bars,128,3.785,57.03,74,4.027,81.08,-0.242,-24.05
Specialty Food,935,3.822,59.57,586,4.06,73.55,-0.238,-13.98
Salad,1936,3.576,44.52,755,3.812,58.94,-0.235,-14.42
Latin American,531,3.9,64.78,144,4.132,75.0,-0.232,-10.22
Beer Bar,497,3.875,62.98,85,4.106,82.35,-0.231,-19.37
Food Delivery Services,485,3.413,35.67,195,3.641,52.31,-0.228,-16.64
