day_of_week_number,day_of_week_name,checkin_hour,hour_block,checkin_count,pct_of_all_checkins,busiest_rank
1,Sunday,0,00:00-00:59,166963,1.961,1
7,Saturday,0,00:00-00:59,166465,1.955,2
7,Saturday,23,23:00-23:59,165307,1.941,3
6,Friday,23,23:00-23:59,156307,1.836,4
1,Sunday,1,01:00-01:59,144941,1.702,5
7,Saturday,1,01:00-01:59,144602,1.698,6
7,Saturday,22,22:00-22:59,143453,1.685,7
7,Saturday,18,18:00-18:59,143160,1.681,8
7,Saturday,17,17:00-17:59,139160,1.634,9
1,Sunday,17,17:00-17:59,135601,1.592,10
1,Sunday,18,18:00-18:59,132688,1.558,11
7,Saturday,19,19:00-19:59,130554,1.533,12
7,Saturday,21,21:00-21:59,121550,1.427,13
6,Friday,22,22:00-22:59,120909,1.42,14
7,Saturday,20,20:00-20:59,117749,1.383,15
1,Sunday,19,19:00-19:59,115200,1.353,16
5,Thursday,23,23:00-23:59,114569,1.345,17
1,Sunday,16,16:00-16:59,114323,1.343,18
6,Friday,0,00:00-00:59,114164,1.341,19
7,Saturday,16,16:00-16:59,112127,1.317,20
